dataset,filename,method,niqe
sots_o,0140_0.95_0.12.png,original,20.564596
sots_o,0140_0.95_0.12.png,dcp,20.094093
sots_o,0140_0.95_0.12.png,aodnet,20.387575
sots_o,0141_0.95_0.12.png,original,20.300443
sots_o,0141_0.95_0.12.png,dcp,19.887698
sots_o,0141_0.95_0.12.png,aodnet,20.400287
sots_o,0142_0.95_0.08.png,original,20.357884
sots_o,0142_0.95_0.08.png,dcp,20.012007
sots_o,0142_0.95_0.08.png,aodnet,20.885871
sots_o,0143_1_0.2.png,original,20.741346
sots_o,0143_1_0.2.png,dcp,20.316240
sots_o,0143_1_0.2.png,aodnet,20.914929
sots_o,0145_0.8_0.12.png,original,20.823044
sots_o,0145_0.8_0.12.png,dcp,20.590682
sots_o,0145_0.8_0.12.png,aodnet,20.962277
sots_o,0146_0.8_0.2.png,original,20.716314
sots_o,0146_0.8_0.2.png,dcp,20.419497
sots_o,0146_0.8_0.2.png,aodnet,20.933994
sots_o,0147_1_0.16.png,original,20.412619
sots_o,0147_1_0.16.png,dcp,20.287948
sots_o,0147_1_0.16.png,aodnet,20.658829
sots_o,0148_0.9_0.12.png,original,20.858660
sots_o,0148_0.9_0.12.png,dcp,20.573338
sots_o,0148_0.9_0.12.png,aodnet,20.980027
sots_o,0149_0.9_0.08.png,original,20.893952
sots_o,0149_0.9_0.08.png,dcp,20.166842
sots_o,0149_0.9_0.08.png,aodnet,20.785490
sots_o,0150_0.8_0.16.png,original,20.094468
sots_o,0150_0.8_0.16.png,dcp,19.657754
sots_o,0150_0.8_0.16.png,aodnet,20.235206
sots_o,0151_0.8_0.08.png,original,20.919118
sots_o,0151_0.8_0.08.png,dcp,20.478503
sots_o,0151_0.8_0.08.png,aodnet,21.032114
sots_o,0152_0.8_0.2.png,original,20.689387
sots_o,0152_0.8_0.2.png,dcp,20.099734
sots_o,0152_0.8_0.2.png,aodnet,20.426163
sots_o,0153_0.8_0.08.png,original,20.350203
sots_o,0153_0.8_0.08.png,dcp,20.296559
sots_o,0153_0.8_0.08.png,aodnet,20.403045
sots_o,0154_0.8_0.2.png,original,20.525595
sots_o,0154_0.8_0.2.png,dcp,20.581092
sots_o,0154_0.8_0.2.png,aodnet,20.673132
sots_o,0155_1_0.08.png,original,20.744259
sots_o,0155_1_0.08.png,dcp,20.543696
sots_o,0155_1_0.08.png,aodnet,20.877213
sots_o,0157_0.8_0.08.png,original,20.394169
sots_o,0157_0.8_0.08.png,dcp,20.341819
sots_o,0157_0.8_0.08.png,aodnet,20.920177
sots_o,0158_0.8_0.2.png,original,20.483633
sots_o,0158_0.8_0.2.png,dcp,20.269074
sots_o,0158_0.8_0.2.png,aodnet,20.778849
sots_o,0160_0.9_0.2.png,original,20.600986
sots_o,0160_0.9_0.2.png,dcp,20.478902
sots_o,0160_0.9_0.2.png,aodnet,20.630842
sots_o,0161_0.85_0.08.png,original,20.636012
sots_o,0161_0.85_0.08.png,dcp,20.602763
sots_o,0161_0.85_0.08.png,aodnet,20.653477
sots_o,0162_0.95_0.12.png,original,20.874624
sots_o,0162_0.95_0.12.png,dcp,20.481693
sots_o,0162_0.95_0.12.png,aodnet,21.012396
sots_o,0163_0.95_0.08.png,original,20.354332
sots_o,0163_0.95_0.08.png,dcp,20.027565
sots_o,0163_0.95_0.08.png,aodnet,20.400030
sots_o,0164_0.9_0.2.png,original,20.437672
sots_o,0164_0.9_0.2.png,dcp,20.516139
sots_o,0164_0.9_0.2.png,aodnet,20.512506
sots_o,0165_0.9_0.2.png,original,20.506870
sots_o,0165_0.9_0.2.png,dcp,19.815356
sots_o,0165_0.9_0.2.png,aodnet,20.667768
sots_o,0166_0.8_0.16.png,original,20.564416
sots_o,0166_0.8_0.16.png,dcp,20.732238
sots_o,0166_0.8_0.16.png,aodnet,20.722609
sots_o,0167_0.8_0.12.png,original,20.970675
sots_o,0167_0.8_0.12.png,dcp,20.702021
sots_o,0167_0.8_0.12.png,aodnet,21.114933
sots_o,0168_0.9_0.16.png,original,20.660396
sots_o,0168_0.9_0.16.png,dcp,20.632008
sots_o,0168_0.9_0.16.png,aodnet,20.848281
sots_o,0169_0.9_0.12.png,original,20.684570
sots_o,0169_0.9_0.12.png,dcp,20.695102
sots_o,0169_0.9_0.12.png,aodnet,20.988963
sots_o,0170_0.8_0.2.png,original,20.634988
sots_o,0170_0.8_0.2.png,dcp,20.646527
sots_o,0170_0.8_0.2.png,aodnet,21.012353
sots_o,0171_0.85_0.12.png,original,19.984836
sots_o,0171_0.85_0.12.png,dcp,19.747642
sots_o,0171_0.85_0.12.png,aodnet,20.822873
sots_o,0172_0.85_0.08.png,original,20.469057
sots_o,0172_0.85_0.08.png,dcp,20.000304
sots_o,0172_0.85_0.08.png,aodnet,20.299645
sots_o,0174_0.95_0.08.png,original,19.830872
sots_o,0174_0.95_0.08.png,dcp,19.132370
sots_o,0174_0.95_0.08.png,aodnet,19.708156
sots_o,0175_0.85_0.16.png,original,20.714884
sots_o,0175_0.85_0.16.png,dcp,20.584284
sots_o,0175_0.85_0.16.png,aodnet,20.695476
sots_o,0176_1_0.08.png,original,20.559942
sots_o,0176_1_0.08.png,dcp,20.513619
sots_o,0176_1_0.08.png,aodnet,20.711921
sots_o,0178_0.8_0.12.png,original,20.438783
sots_o,0178_0.8_0.12.png,dcp,20.137908
sots_o,0178_0.8_0.12.png,aodnet,20.502140
sots_o,0179_0.8_0.2.png,original,20.712561
sots_o,0179_0.8_0.2.png,dcp,20.350857
sots_o,0179_0.8_0.2.png,aodnet,20.740955
sots_o,0180_0.85_0.16.png,original,20.152422
sots_o,0180_0.85_0.16.png,dcp,19.415699
sots_o,0180_0.85_0.16.png,aodnet,20.235503
sots_o,0181_0.9_0.08.png,original,19.895524
sots_o,0181_0.9_0.08.png,dcp,19.709348
sots_o,0181_0.9_0.08.png,aodnet,20.087946
sots_o,0182_0.8_0.16.png,original,20.521932
sots_o,0182_0.8_0.16.png,dcp,19.976976
sots_o,0182_0.8_0.16.png,aodnet,20.556973
sots_o,0183_0.8_0.16.png,original,20.846002
sots_o,0183_0.8_0.16.png,dcp,20.561489
sots_o,0183_0.8_0.16.png,aodnet,21.268841
sots_o,0184_0.95_0.12.png,original,20.234609
sots_o,0184_0.95_0.12.png,dcp,19.525347
sots_o,0184_0.95_0.12.png,aodnet,20.145831
sots_o,0185_1_0.16.png,original,20.498360
sots_o,0185_1_0.16.png,dcp,20.296468
sots_o,0185_1_0.16.png,aodnet,20.624008
sots_o,0187_0.9_0.2.png,original,21.061509
sots_o,0187_0.9_0.2.png,dcp,20.973350
sots_o,0187_0.9_0.2.png,aodnet,21.177649
sots_o,0188_0.85_0.08.png,original,20.253320
sots_o,0188_0.85_0.08.png,dcp,19.932336
sots_o,0188_0.85_0.08.png,aodnet,20.357616
sots_o,0189_0.85_0.2.png,original,20.731198
sots_o,0189_0.85_0.2.png,dcp,20.387046
sots_o,0189_0.85_0.2.png,aodnet,20.670850
sots_o,0191_1_0.08.png,original,19.991045
sots_o,0191_1_0.08.png,dcp,19.768165
sots_o,0191_1_0.08.png,aodnet,20.124866
sots_o,0194_1_0.2.png,original,20.493977
sots_o,0194_1_0.2.png,dcp,20.381660
sots_o,0194_1_0.2.png,aodnet,20.635494
sots_o,0195_1_0.08.png,original,20.435854
sots_o,0195_1_0.08.png,dcp,20.276296
sots_o,0195_1_0.08.png,aodnet,20.759751
sots_o,0196_0.9_0.2.png,original,20.580671
sots_o,0196_0.9_0.2.png,dcp,20.200572
sots_o,0196_0.9_0.2.png,aodnet,20.550686
sots_o,0197_0.8_0.16.png,original,20.563912
sots_o,0197_0.8_0.16.png,dcp,20.702534
sots_o,0197_0.8_0.16.png,aodnet,20.779704
sots_o,0198_0.95_0.12.png,original,20.411950
sots_o,0198_0.95_0.12.png,dcp,19.981481
sots_o,0198_0.95_0.12.png,aodnet,20.273430
sots_o,0199_1_0.16.png,original,20.780570
sots_o,0199_1_0.16.png,dcp,20.201148
sots_o,0199_1_0.16.png,aodnet,20.699070
sots_o,0200_1_0.12.png,original,20.684540
sots_o,0200_1_0.12.png,dcp,20.257650
sots_o,0200_1_0.12.png,aodnet,20.738040
sots_o,0201_1_0.08.png,original,20.757761
sots_o,0201_1_0.08.png,dcp,20.360949
sots_o,0201_1_0.08.png,aodnet,21.082919
sots_o,0202_0.85_0.12.png,original,19.562916
sots_o,0202_0.85_0.12.png,dcp,19.612127
sots_o,0202_0.85_0.12.png,aodnet,19.716763
sots_o,0204_0.8_0.08.png,original,20.685472
sots_o,0204_0.8_0.08.png,dcp,20.640146
sots_o,0204_0.8_0.08.png,aodnet,20.958026
sots_o,0205_1_0.16.png,original,20.609144
sots_o,0205_1_0.16.png,dcp,20.624552
sots_o,0205_1_0.16.png,aodnet,20.635643
sots_o,0206_1_0.12.png,original,20.184580
sots_o,0206_1_0.12.png,dcp,19.399325
sots_o,0206_1_0.12.png,aodnet,20.121908
sots_o,0207_1_0.08.png,original,20.413999
sots_o,0207_1_0.08.png,dcp,19.933661
sots_o,0207_1_0.08.png,aodnet,20.369477
sots_o,0208_0.8_0.16.png,original,20.323661
sots_o,0208_0.8_0.16.png,dcp,19.735301
sots_o,0208_0.8_0.16.png,aodnet,20.202680
sots_o,0209_0.85_0.08.png,original,20.447381
sots_o,0209_0.85_0.08.png,dcp,20.318186
